"filename", "language", "C++", "CMake", "Swift", "XML", "JSON", "HTML", "Markdown", "Dart", "YAML", "Gradle", "Java Properties", "comment", "blank", "total"
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\cms_settings\cms_settings_widget\help_support.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 1, 4, 127
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\cms_settings\cms_settings_widget\others.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 128, 0, 0, 0, 1, 4, 133
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\cms_settings\cms_settings_widget\system_management.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 1, 4, 147
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\cms_settings\management\admin_management.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 196, 0, 0, 0, 9, 15, 220
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\cms_settings\management\branch_management.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 283, 0, 0, 0, 4, 13, 300
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\cms_settings\management\user_management.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 3, 22
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\home\analytics\analytics_parcel copy.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 1, 5, 74
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\home\analytics\analytics_parcel.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 4, 10, 132
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\home\carousel_services\carousel.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\home\carousel_services\carousel_adder.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 115, 0, 0, 0, 4, 14, 133
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\home\carousel_services\carousel_viewer.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 149, 0, 0, 0, 3, 11, 163
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\home\home.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 182, 0, 0, 0, 4, 5, 191
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\loyalty_prog\loyalty_prog.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 6, 11, 137
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\notification_tester\notification_tester.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 7, 14, 95
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\out_for_delivery\out_for_delivery.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 2, 5, 45
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\parcel_inventory\parcel_inventory.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 3, 26, 284
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\parcel_inventory\parcel_inventory_detail.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 376, 0, 0, 0, 8, 12, 396
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\parcel_management\check_in_parcel\check_in_parcel.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 360, 0, 0, 0, 12, 20, 392
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\parcel_management\check_out_parcel\check_out_parcel.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 357, 0, 0, 0, 2, 25, 384
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\search_inventory\search_inventory.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 630, 0, 0, 0, 5, 19, 654
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\pages\search_user\search_user.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 220, 0, 0, 0, 2, 21, 243
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\src\navigator\navigator_sevices.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 181, 0, 0, 0, 0, 8, 189
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\src\postalhub_ui.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 3, 3, 103
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\lib\src\responsive_layout.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 3, 22
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\linux\CMakeLists.txt", "CMake", 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 146
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\linux\flutter\CMakeLists.txt", "CMake", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 89
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\linux\flutter\generated_plugin_registrant.cc", "C++", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 24
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\linux\flutter\generated_plugins.cmake", "CMake", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\linux\my_application.cc", "C++", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 26, 125
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
